,reviewText,sentiment,prediction
2898,"If you are looking for classic JW blues or blues rock then look elsewhere.  This is a collection of oldies with the sound of the 50s.  It's ok if you are into that music.  For me, it puts me to sleep, and I was born in the 50s.  Listen to almost any of his other albums if you want to hear one of the greatest guitarists that ever lived.",negative,positive
2906,"A ""Space"" like feel to nature sounds CD. Dueter is unique and known for this in his field. Very electronic. Youtube him first, and give him a listen too. If you like it, buy it here.",positive,negative
2915,"Very relaxing, although I was looking for more owl noises and without the music.  It does ""put"" me back into the woods, though, and reminds me of nights we camped.",negative,positive
2917,Nobody is greater that JESUS CHRIST!!!!!!!!,negative,positive
2925,"This isn't a very good version of A Love Supreme.  It gets better when the horns get busy in the second half, but it's still not amazing.  If you've read my other reviews you know I'm a friend to cover versions, but I don't feel Gordon has added anything to make the composition his own.  I saw the Campbell Brothers do A Love Supreme and they were INCREDIBLE.  This version doesn't measure up.",negative,positive
2926,Reminds me of stuffy old rich people. Just not ready for that kind of music. Does sound impressive on my new stereo.,negative,positive
2953,Must get,negative,positive
2956,This is a terrible rendition of this classic Delaney and Bonnie tune. It's played way too fast and the voices are Mickey Mouse-like,negative,positive
2960,"I wouldn't buy the entire CD, but there's a few songs on there I really like. I heard it on YouTube first. It's a great place to preview songs.",positive,negative
2963,"wow  i  was  thrilled  to  hear  this  long  lost  uk  outfit  was  back  together  a  year  or  so  ago  but  i  had  no  clue  this  comeback  cd  would  be  as  good  as  the  archer  brothers  said  it  was  going  to  be,  this  album  is  even  heavier  then  there  classic  white  wine  n  roses  ep  or  the  live  bootleg  from  1982,  it  leaves  there  last  opus  (hurricain  town  1983)  in  the  dust,  to  bad  it  took  28  years  for  this  to  follow  that  album  up  but  this  is  about  the  best  comeback  album  ive  ever  heard,  very  oldschool  production,  very  oldschool  sound  a  must  for  nwobhm  fans,  there  is  nothing  modern  sounding  about  this  record  i  could  play  this  for  you  and  if  you  did  not  know  any  better  i  could  tell  you  this  was  recorded  in  1982  and  you  would  belive  me  that  is  how  oldschool  this  is,  a  total  must!!!!!!!!!!!!!!!!",positive,negative
2965,"I liked the cheap price, it is one of my favorite glee original songs, and it transferred to itunes easily.",positive,negative
2975,"I was excited when I saw this one. Love Larry Coryell's playing. Must admit I am a bit disappointed. The disc is very polished. The players are excellent but I wish they would have opened up a bit, took a few more chances with the music. Could have, should have been a much more interesting CD.",positive,negative
2977,Just glad this was free! That was about all I can say that was good about it!,negative,positive
2985,"I'm not a music reviewer, and certainly not a sound track reviewer.

What I CAN tell you is that in the movie this song is split in half between the very beginning and the ending credits.  The soundtrack version is all one piece.
The beginning of the song builds with the rhythmic bird sounds into the actual song and is a lot of fun.",positive,negative
2988,VERY BRUTAL TRACK! I know no one will ever see this review so why does it matter. .. . .,positive,negative
2990,Though a wonderful testiment to the life of Diana it is very short. I believe it is a minute and a half. I would like to have had at least three minutes.,positive,negative
3000,"My chinese son loves this song with all his chopsticks. Not only has it helped him excel in his grades but now he is a doctor at age five. But i am
American and this siong doent go eith me country beer drinkin Mud lovin life. After i listn to song i ate my neighbors dog he was very good me and ling ling enjoyed feasting on his raw bones.  Tasted just like my chinese restrant her in my hometown compton New York.  Thank you for writeing this siong for my ears to enjoy ib such pleasure i had to buy new ones off eabay for $7.9984 plus tax and $4.589 shipping. Oh boy what a deal!",negative,positive
3008,yup,negative,positive
3011,song,negative,positive
3025,"Plays on my kindle very very good, I downloaded more music and had no problem . The music has God quality sound.",positive,negative
3041,Best album they ever made. Glad its still available. The sound quality since it was remastered is better too. Worth the money,positive,negative
3057,"I heard this on a tv program and liked it, so I paused the program and, using my Shazam app on my cell phone, identified the song. We have found a lot of good songs that way because programs like The Black List and CSI have great music.",positive,negative
3063,"So I bought this a couple years ago and I loved it so much. I use these sorts of soundtracks to help me concentrate when writing my book and I got a new computer since I bought it, and now I can't find it. I know I bought it from Amazon but now it's not in my cloud, which makes me very sad because this is a beautiful soundtrack for a sims game. Usually The Sims doesn't make me think of wonderful soundtrack music, but this one does. So now I need to figure it out so I can listen to it while I write again.",positive,negative
3072,cause I'm from that Hill Side..,positive,negative
3075,These two have voices made to duet.  I wish they would record more songs but will enjoy their live performances in the meantime.,positive,negative
3085,"Phil Spector was perhaps wise to ban Ike from the studio when Tina laid down her gut-wrenching vocals. The urban legend has it that the lack of success of his ""Wall Of Sound"" crowning achievement in the U.S. angered him to the point that he nearly disappeared from the music scene until he got hold of Let It Be...although this track was a massive success everywhere else. I'm glad this version is now widely available as opposed to the lame non-Phil re-recording that shows up in later greatest hits packages. Now, if we can just talk Celine Dion into releasing the version of this song she recorded with Phil at the controls, and not the so-so Spector-less version that was released.",positive,negative
